Accuracy,Balanced_Accuracy,Precision,Recall_DR,Specificity,F1,F2,AUROC,AUPRC,MCC,Cohen_Kappa,FPR_FAR,FNR_MissRate,NPV,Brier,ECE,TP,TN,FP,FN,Threshold,Collapsed_All_Attack,Collapsed_All_Normal,Dataset,Model,Condition,Seed
0.9770178749861219,0.695139911634757,1.0,0.390279823269514,1.0,0.5614406779661016,0.44448171754444815,0.5850049785628689,0.4485097628439389,0.6173948864323666,0.5519590881439171,0.0,0.6097201767304861,0.9766747422389994,0.09316057391171993,0.11221644491758964,530,34670,0,828,0.9999886751174927,False,False,SWaT,DT-RAVLA-Supervised,Clean,42
0.9769346064172311,0.6940353460972017,1.0,0.38807069219440354,1.0,0.5591511936339523,0.4421882866252727,0.5759501430062449,0.44579602312247274,0.6156190497461052,0.5496598088537422,0.0,0.6119293078055965,0.9765922086701783,0.09330869255728505,0.11246098693139776,527,34670,0,831,0.9999886751174927,False,False,SWaT,DT-RAVLA-Supervised,Gaussian_5pct,42
0.9769346064172311,0.6940353460972017,1.0,0.38807069219440354,1.0,0.5591511936339523,0.4421882866252727,0.5665127397260856,0.44405825737570953,0.6156190497461052,0.5496598088537422,0.0,0.6119293078055965,0.9765922086701783,0.08976818790437385,0.10912397048792126,527,34670,0,831,0.9999886751174927,False,False,SWaT,DT-RAVLA-Supervised,Gaussian_10pct,42
0.9623626068613301,0.5007363770250368,1.0,0.0014727540500736377,1.0,0.0029411764705882353,0.001840264998159735,0.4880563129833868,0.09835590603012201,0.03764731530451867,0.002830628791487211,0.0,0.9985272459499264,0.962360517404097,0.12898693723542523,0.14737558863304803,2,34670,0,1356,0.9999886751174927,False,False,SWaT,DT-RAVLA-Supervised,Missing_10pct,42
0.9623070944820695,0.5,0.0,0.0,1.0,0.0,0.0,0.40891465417891304,0.07511526614810135,0.0,0.0,0.0,1.0,0.9623070944820695,0.15088039062945457,0.18011735129302237,0,34670,0,1358,0.9999886751174927,False,True,SWaT,DT-RAVLA-Supervised,Missing_20pct,42
0.9771011435550128,0.6962444771723122,1.0,0.39248895434462444,1.0,0.5637228979375991,0.44677284157585917,0.6049921031157222,0.45750418175767954,0.6191659287348156,0.5542514755256795,0.0,0.6075110456553755,0.976757289759121,0.1019691812302713,0.12157060080042822,533,34670,0,825,0.9999886751174927,False,False,SWaT,DT-RAVLA-Supervised,Frozen_10pct,42
0.9628622182746752,0.5073637702503682,1.0,0.014727540500736377,1.0,0.02902757619738752,0.018341892883345562,0.5003177763155491,0.4433211072675771,0.11908101663857314,0.027964038907358657,0.0,0.9852724594992637,0.9628415907576094,0.0536398333954968,0.07150305650076594,20,34670,0,1338,0.9999886751174927,False,False,SWaT,DT-RAVLA-Supervised,Bias_10pct,42
0.9770178749861219,0.695139911634757,1.0,0.390279823269514,1.0,0.5614406779661016,0.44448171754444815,0.5850049891826703,0.4485097635358877,0.6173948864323666,0.5519590881439171,0.0,0.6097201767304861,0.9766747422389994,0.09316057376521897,0.11221644479124143,530,34670,0,828,0.9999886751174927,False,False,SWaT,DT-RAVLA-Supervised,Temporal_Jitter,42
0.9756300655046075,0.6767304860088366,1.0,0.35346097201767307,1.0,0.5223068552774756,0.4059539918809202,0.6007954974591063,0.4620175323063098,0.5871378372978998,0.5127135181791843,0.0,0.646539027982327,0.9753010014628108,0.12179024678961385,0.16806813667140408,480,34670,0,878,0.999880313873291,False,False,SWaT,DT-RAVLA-Supervised,Clean,52
0.9756300655046075,0.6767304860088366,1.0,0.35346097201767307,1.0,0.5223068552774756,0.4059539918809202,0.5947639494276564,0.4623027414030886,0.5871378372978998,0.5127135181791843,0.0,0.646539027982327,0.9753010014628108,0.11556582679115757,0.16108189153758587,480,34670,0,878,0.999880313873291,False,False,SWaT,DT-RAVLA-Supervised,Gaussian_5pct,52
0.9756023093149773,0.6763622974963182,1.0,0.35272459499263625,1.0,0.5215024496461622,0.4051767890373879,0.5848552393639505,0.46332814226706553,0.5865176669094102,0.5119080543047126,0.0,0.6472754050073638,0.975273566063743,0.10633675773396459,0.15037857275620534,479,34670,0,879,0.999880313873291,False,False,SWaT,DT-RAVLA-Supervised,Gaussian_10pct,52
0.9623348506716998,0.5003681885125184,1.0,0.0007363770250368188,1.0,0.0014716703458425313,0.0009203018590097553,0.6067925205163942,0.4362896213972065,0.026620302488265527,0.0014162773776178472,0.0,0.9992636229749632,0.9623338052016543,0.12990171455292907,0.1658109299985494,1,34670,0,1357,0.999880313873291,False,False,SWaT,DT-RAVLA-Supervised,Missing_10pct,52
0.9623070944820695,0.5,0.0,0.0,1.0,0.0,0.0,0.5785071362941057,0.2994918639691907,0.0,0.0,0.0,1.0,0.9623070944820695,0.12997607474519446,0.15727364627011917,0,34670,0,1358,0.999880313873291,False,True,SWaT,DT-RAVLA-Supervised,Missing_20pct,52
0.9756855778838681,0.6774668630338734,1.0,0.3549337260677467,1.0,0.5239130434782608,0.4075076090632398,0.5964308122066546,0.4599862963771451,0.588376321436648,0.5143219684933806,0.0,0.6450662739322534,0.9753558768919147,0.12360545680289681,0.17036609756827323,482,34670,0,876,0.999880313873291,False,False,SWaT,DT-RAVLA-Supervised,Frozen_10pct,52
0.962445875430221,0.501840942562592,1.0,0.003681885125184094,1.0,0.007336757153338224,0.004598123965422108,0.48784976846709116,0.4439619740069185,0.05952811067588102,0.007062166456750174,0.0,0.9963181148748159,0.9624406629098077,0.5341926328915126,0.6349010233914216,5,34670,0,1353,0.999880313873291,False,False,SWaT,DT-RAVLA-Supervised,Bias_10pct,52
0.9756300655046075,0.6767304860088366,1.0,0.35346097201767307,1.0,0.5223068552774756,0.4059539918809202,0.6007955080789077,0.4620175323063098,0.5871378372978998,0.5127135181791843,0.0,0.646539027982327,0.9753010014628108,0.12179024662679752,0.16806813651604727,480,34670,0,878,0.999880313873291,False,False,SWaT,DT-RAVLA-Supervised,Temporal_Jitter,52
0.977128899744643,0.6966126656848306,1.0,0.39322533136966126,1.0,0.5644820295983086,0.44753603754609456,0.6591591432454028,0.47548880343114636,0.6197552178706792,0.5550140784708217,0.0,0.6067746686303387,0.976784808700062,0.16073397948282644,0.23425315307767144,534,34670,0,824,0.9996205568313599,False,False,SWaT,DT-RAVLA-Supervised,Clean,62
0.977128899744643,0.6966126656848306,1.0,0.39322533136966126,1.0,0.5644820295983086,0.44753603754609456,0.6573742626140938,0.47371365317184566,0.6197552178706792,0.5550140784708217,0.0,0.6067746686303387,0.976784808700062,0.15007802730044237,0.21570777089592955,534,34670,0,824,0.9996205568313599,False,False,SWaT,DT-RAVLA-Supervised,Gaussian_5pct,62
0.9771566559342734,0.696980854197349,1.0,0.3939617083946981,1.0,0.5652403592181722,0.4482989777107424,0.6510007357398369,0.47122398289636935,0.6203439803764966,0.5557759202290935,0.0,0.6060382916053019,0.9768123291916716,0.1351367109733998,0.18666207022470657,535,34670,0,823,0.9996205568313599,False,False,SWaT,DT-RAVLA-Supervised,Gaussian_10pct,62
0.9625291439991118,0.5029455081001473,1.0,0.005891016200294551,1.0,0.01171303074670571,0.007352941176470588,0.6474552513430862,0.4668076291877122,0.07530090141653338,0.011276511144377221,0.0,0.9941089837997055,0.9625208217656858,0.17460045955562256,0.24346580494912956,8,34670,0,1350,0.9996205568313599,False,False,SWaT,DT-RAVLA-Supervised,Missing_10pct,62
0.9623070944820695,0.5,0.0,0.0,1.0,0.0,0.0,0.6441477460746028,0.4617991734563178,0.0,0.0,0.0,1.0,0.9623070944820695,0.20172061881103762,0.273330629698022,0,34670,0,1358,0.9996205568313599,False,True,SWaT,DT-RAVLA-Supervised,Missing_20pct,62
0.9775452425890974,0.7021354933726067,1.0,0.40427098674521356,1.0,0.5757734661772418,0.45895335228222706,0.6681611028111463,0.4850621672247673,0.6285321872017056,0.5663624140049222,0.0,0.5957290132547864,0.9771977789678401,0.16160283910366724,0.23387542983996484,549,34670,0,809,0.9996205568313599,False,False,SWaT,DT-RAVLA-Supervised,Frozen_10pct,62
0.9642777839458199,0.5261413843888071,1.0,0.05228276877761414,1.0,0.099370188943317,0.06451026712702163,0.8059775782010312,0.5612565827166582,0.2245248863202708,0.09598415134798233,0.0,0.9477172312223858,0.9642072475456795,0.5171357693565989,0.6571021258382048,71,34670,0,1287,0.9996205568313599,False,False,SWaT,DT-RAVLA-Supervised,Bias_10pct,62
