Direction,Protocol,Target_Label_Fraction,Accuracy_Mean,Balanced_Accuracy_Mean,Precision_Mean,Recall_DR_Mean,Specificity_Mean,F1_Mean,F2_Mean,AUROC_Mean,AUPRC_Mean,MCC_Mean,Cohen_Kappa_Mean,FPR_FAR_Mean,FNR_MissRate_Mean,NPV_Mean,Brier_Mean,ECE_Mean,TP_Mean,TN_Mean,FP_Mean,FN_Mean,Threshold_Mean,Target_Label_Fraction_Mean,Accuracy_Std,Balanced_Accuracy_Std,Precision_Std,Recall_DR_Std,Specificity_Std,F1_Std,F2_Std,AUROC_Std,AUPRC_Std,MCC_Std,Cohen_Kappa_Std,FPR_FAR_Std,FNR_MissRate_Std,NPV_Std,Brier_Std,ECE_Std,TP_Std,TN_Std,FP_Std,FN_Std,Threshold_Std,Target_Label_Fraction_Std,Runs
SWaT_to_WADI,One-percent few-shot calibration,0.01,0.07644561105535397,0.4810138950295405,0.04870330958119517,0.9314112291350531,0.03061656092402798,0.09255243517577211,0.20130286845843098,0.272390334132914,0.03219127375081422,-0.018256465339350682,-0.004534327205386468,0.969383439075972,0.06858877086494689,0.7760212201591512,0.8751050776683676,0.882765023405484,613.8,376.4,11917.6,45.2,0.20967026053519225,0.01,0.04805901285553231,0.04766588000454355,0.005368358702203521,0.1533691541471783,0.05878139700067051,0.010477180732984082,0.024248301914900485,0.03853468637939982,0.00161250175049607,0.06338685723060646,0.011212035677750342,0.05878139700067053,0.1533691541471783,0.43690447410487243,0.02463562937682581,0.025235092824049316,101.07027258299051,722.6584947262435,722.6584947262434,101.07027258299051,0.4087896595563922,0.0,5
SWaT_to_WADI,Target-normal calibrated,0.0,0.6279935150158265,0.3955966158405855,0.01697947110807161,0.1368740515933232,0.6543191800878477,0.029824914518625168,0.055268178482246674,0.272390334132914,0.03219127375081422,-0.10145321127717064,-0.06263857432206921,0.34568081991215227,0.8631259484066767,0.9334730823182861,0.8751050776683676,0.882765023405484,90.2,8044.2,4249.8,568.8,0.9984689555168152,0.0,0.12237651435154044,0.03128212104978818,0.014955563694470228,0.1564792613109245,0.1365906116113434,0.027295913311761774,0.05407078807069274,0.03853468637939982,0.00161250175049607,0.031081253339708004,0.026234792438705416,0.1365906116113434,0.15647926131092446,0.005114865331085756,0.02463562937682581,0.025235092824049316,103.11983320389925,1679.2449791498561,1679.2449791498561,103.11983320389922,0.0020919568489985627,0.0,5
SWaT_to_WADI,Zero-shot source threshold,0.0,0.9072801667567358,0.4791056150118752,0.0007568590350047304,0.0024279210925644916,0.955783308931186,0.001153984853948792,0.0016842105263157893,0.272390334132914,0.03219127375081422,-0.0323146125220537,-0.027489688648007427,0.044216691068814054,0.9975720789074355,0.9467884667032017,0.8751050776683676,0.882765023405484,1.6,11750.4,543.6,657.4,0.9996977476596832,0.0,0.06917730022598331,0.033954514158129175,0.0016923882516554699,0.005428996606979763,0.07316796704166996,0.0025803885784346655,0.0037660092252628035,0.03853468637939982,0.00161250175049607,0.039879104017455,0.03408674025322537,0.07316796704166993,0.0054289966069797505,0.003929061457304092,0.02463562937682581,0.025235092824049316,3.577708763999664,899.52698681029,899.5269868102903,3.577708763999657,0.00027594987555800576,0.0,5
