Dataset,Model,Parameters_Mean,Model_Size_MB_Mean,Latency_ms_per_window_Mean,Windows_per_second_Mean,Parameters_Std,Model_Size_MB_Std,Latency_ms_per_window_Std,Windows_per_second_Std
SWaT,DT-RAVLA-Supervised,614274.0,2.360433578491211,1.5679031999898143,705.7675669003916,0.0,0.0,0.4325867544486541,308.1529885907897
WADI,DT-RAVLA-OneClass,616467.0,2.368795394897461,1.4056428000330925,811.5163000148126,0.0,0.0,0.5118862618887635,348.37763847369143
