Dataset,Model,Seed,Parameters,Model_Size_MB,Latency_ms_per_window,Windows_per_second
SWaT,DT-RAVLA-Supervised,42,614274,2.360433578491211,1.7625940003199503,567.3456279883386
SWaT,DT-RAVLA-Supervised,52,614274,2.360433578491211,1.8389260000549257,543.7956720227631
SWaT,DT-RAVLA-Supervised,62,614274,2.360433578491211,1.7787969997152686,562.1776965893633
SWaT,DT-RAVLA-Supervised,72,614274,2.360433578491211,1.734279000083916,576.6084926079445
SWaT,DT-RAVLA-Supervised,82,614274,2.360433578491211,1.7787380004301667,562.1963435638986
